Tipo,Nombre,Dependencia
Clase,Bardo,
Subclase,Colegio de la Luna,Bardo
Clase,Clérigo,
Subclase,Dominio del Conocimiento,Clérigo
Clase,Guerrero,
Subclase,Estandarte,Guerrero
Clase,Paladín,
Subclase,Juramento de los Genios Nobles,Paladín
Clase,Explorador,
Subclase,Caminante Invernal,Explorador
Clase,Pícaro,
Subclase,Vástago de los Tres,Pícaro
Clase,Hechicero,
Subclase,Hechicería de Fuego de Conjuro,Hechicero
Clase,Mago,
Subclase,Canto de Cuchilla,Mago
Especie,Enano,
Subespecie,Enano Dorado,Enano
Subespecie,Enano Escudo,Enano
Especie,Elfo,
Subespecie,Elfo del Sol,Elfo
Subespecie,Elfo de la Luna,Elfo
Trasfondo,Filibustero de Chondath,
Trasfondo,Habitante de la Magia Muerta,
Trasfondo,Mercenario de la Puño de Flama,
Trasfondo,Tocado por los Genios,
Trasfondo,Pescador de Hielo,
Trasfondo,Peregrino de Moonwell,
Trasfondo,Saqueador de Tumbas de Mulhorand,
Trasfondo,Guardián de Mitos,
Trasfondo,Vagabundo de Rashemen,
Trasfondo,Exiliado de los Maestros de las Sombras,
Trasfondo,Iniciado del Fuego de Conjuro,
Trasfondo,Cultista del Dragón,
Trasfondo,Cuidador del Enclave Esmeralda,
Trasfondo,Arpista,
Trasfondo,Caballero de la Orden del Guantelete,
Trasfondo,Vasallo de la Alianza de los Señores,
Trasfondo,Escudero del Dragón Púrpura,
Trasfondo,Mercenario Zhentarim,
