Tipo,Nombre,Dependencia
Clase,Bárbaro,Fuerza-Constitución
Subclase,Senda del Berserker,Bárbaro
Subclase,Senda del Corazón Salvaje,Bárbaro
Subclase,Senda del Árbol del Mundo,Bárbaro
Subclase,Senda del Zelote,Bárbaro
Clase,Bardo,Carisma-Destreza
Subclase,Colegio del Baile,Bardo
Subclase,Colegio del Glamour,Bardo
Subclase,Colegio del Saber,Bardo
Subclase,Colegio of Valor,Bardo
Clase,Clérigo,Sabiduría-Constitución
Subclase,Dominio de la Vida,Clérigo
Subclase,Dominio de la Luz,Clérigo
Subclase,Dominio del Engaño,Clérigo
Subclase,Dominio de la Guerra,Clérigo
Clase,Druida,Sabiduría-Constitución
Subclase,Círculo de la Tierra,Druida
Subclase,Círculo de la Luna,Druida
Subclase,Círculo del Mar,Druida
Subclase,Círculo de las Estrellas,Druida
Clase,Guerrero,Fuerza-Destreza
Subclase,Maestro de Batalla,Guerrero
Subclase,Campeón,Guerrero
Subclase,Caballero Eldritch,Guerrero
Subclase,Guerrero Psiónico,Guerrero
Clase,Monje,Destreza-Sabiduría
Subclase,Guerrero de la Misericordia,Monje
Subclase,Senda de la Mano Abierta,Monje
Subclase,Senda de la Sombra,Monje
Subclase,Senda de los Cuatro Elementos,Monje
Clase,Paladín,Fuerza-Carisma
Subclase,Juramento de Devoción,Paladín
Subclase,Juramento de la Gloria,Paladín
Subclase,Juramento de los Antiguos,Paladín
Subclase,Juramento de Venganza,Paladín
Clase,Explorador,Destreza-Sabiduría
Subclase,Cazador,Explorador
Subclase,Cazador de la Envidia,Explorador
Subclase,Señor de las Bestias,Explorador
Subclase,Vagabundo Fey,Explorador
Clase,Pícaro,Destreza-Carisma
Subclase,Embaucador Arcano,Pícaro
Subclase,Asesino,Pícaro
Subclase,Cuchillo Alma,Pícaro
Subclase,Ladrón,Pícaro
Clase,Hechicero,Carisma-Constitución
Subclase,Hechicería Aberrante,Hechicero
Subclase,Hechicería de Relojería,Hechicero
Subclase,Hechicería Dracónica,Hechicero
Subclase,Magia Salvaje,Hechicero
Clase,Brujo,Carisma-Constitución
Subclase,Patrón Archihada,Brujo
Subclase,Patrón Celestial,Brujo
Subclase,Patrón Fiend,Brujo
Subclase,Patrón Gran Antiguo,Brujo
Clase,Mago,Inteligencia-Destreza
Subclase,Abjurador,Mago
Subclase,Adivino,Mago
Subclase,Escuela de Evocación,Mago
Subclase,Escuela de Ilusión,Mago
Raza,Aasimar,
Raza,Dragonborn,
Raza,Enano,
Raza,Elfo,
Subraza,Drow,Elfo
Subraza,Alto Elfo,Elfo
Subraza,Elfo de los Bosques,Elfo
Raza,Gnomo,
Subraza,Gnomo de los Bosques,Gnomo
Subraza,Gnomo de las Rocas,Gnomo
Raza,Goliath,
Subraza,Gigante de las Nubes,Goliath
Subraza,Gigante de Fuego,Goliath
Subraza,Gigante de Hielo,Goliath
Subraza,Gigante de las Colinas,Goliath
Subraza,Gigante de Piedra,Goliath
Subraza,Gigante de la Tormenta,Goliath
Raza,Halfling,
Raza,Humano,
Raza,Orc,
Raza,Tiefling,
Trasfondo,Acólito,
Trasfondo,Artesano,
Trasfondo,Charlatán,
Trasfondo,Criminal,
Trasfondo,Entretenedor,
Trasfondo,Granjero,
Trasfondo,Guardia,
Trasfondo,Guía,
Trasfondo,Hermitaño,
Trasfondo,Mercante,
Trasfondo,Noble,
Trasfondo,Sabio,
Trasfondo,Marino,
Trasfondo,Escriba,
Trasfondo,Soldado,
Trasfondo,Viajante,
