Tipo,Nombre,Dependencia
Clase,Bárbaro,
Subclase,Senda del Berserker,Bárbaro
Subclase,Senda del Corazón Salvaje,Bárbaro
Subclase,Senda del Árbol del Mundo,Bárbaro
Subclase,Senda del Zelote,Bárbaro
Clase,Bardo,
Subclase,Colegio del Baile,Bardo
Subclase,Colegio del Glamour,Bardo
Subclase,Colegio del Saber,Bardo
Subclase,Colegio of Valor,Bardo
Clase,Clérigo,
Subclase,Dominio de la Vida,Clérigo
Subclase,Dominio de la Luz,Clérigo
Subclase,Dominio del Engaño,Clérigo
Subclase,Dominio de la Guerra,Clérigo
Clase,Druida,
Subclase,Círculo de la Tierra,Druida
Subclase,Círculo de la Luna,Druida
Subclase,Círculo del Mar,Druida
Subclase,Círculo de las Estrellas,Druida
Clase,Guerrero,
Subclase,Maestro de Batalla,Guerrero
Subclase,Campeón,Guerrero
Subclase,Caballero Eldritch,Guerrero
Subclase,Guerrero Psiónico,Guerrero
Clase,Monje,
Subclase,Guerrero de la Misericordia,Monje
Subclase,Guerrero de la Sombra,Monje
Subclase,Guerrero de los Elementos,Monje
Subclase,Guerrero de la Mano Abierta,Monje
Clase,Paladín,
Subclase,Juramento de Devoción,Paladín
Subclase,Juramento de Gloria,Paladín
Subclase,Juramento de los Ancestros,Paladín
Subclase,Juramento de Venganza,Paladín
Clase,Explorador,
Subclase,Maestro de las Bestias,Explorador
Subclase,Caminante de las Hadas,Explorador
Subclase,Acechador de las Sombras,Explorador
Subclase,Cazador,Explorador
Clase,Pícaro,
Subclase,Tricahue Arcano,Pícaro
Subclase,Asesino,Pícaro
Subclase,Cuchillo Alma,Pícaro
Subclase,Ladrón,Pícaro
Clase,Hechicero,
Subclase,Hechicería Aberrante,Hechicero
Subclase,Hechicería de Relojería,Hechicero
Subclase,Hechicería Dracónica,Hechicero
Subclase,Magia Salvaje,Hechicero
Clase,Brujo,
Subclase,Patrón Archihada,Brujo
Subclase,Patrón Celestial,Brujo
Subclase,Patrón Fiend,Brujo
Subclase,Patrón Gran Antiguo,Brujo
Clase,Mago,
Subclase,Abjurador,Mago
Subclase,Adivino,Mago
Subclase,Escuela de Evocación,Mago
Subclase,Escuela de Ilusión,Mago
Raza,Aasimar,
Raza,Dragonborn,
Raza,Enano,
Taza,Elfo,
Subraza,Drow,Elfo
Subraza,Alto Elfo,Elfo
Subraza,Elfo de los Bosques,Elfo
Raza,Gnomo,
Subraza,Gnomo de los Bosques,Gnomo
Subraza,Gnomo de las Rocas,Gnomo
Raza,Goliath,
Subraza,Linaje del Gigante de las Nubes,Goliath
Subraza,Linaje del Gigante de Fuego,Goliath
Subraza,Linaje del Gigante de Escarcha,Goliath
Subraza,Linaje del Gigante de las Colinas,Goliath
Subraza,Linaje del Gigante de Piedra,Goliath
Subraza,Linaje del Gigante de las Tormentas,Goliath
Raza,Mediano,
Raza,Humano,
Raza,Orco,
Raza,Tifling,
Trasfondo,Acólito,
Trasfondo,Artesano,
Trasfondo,Charlatán,
Trasfondo,Criminal,
Trasfondo,Artista,
Trasfondo,Granjero,
Trasfondo,Guardia,
Trasfondo,Guía,
Trasfondo,Ermitaño,
Trasfondo,Comerciante,
Trasfondo,Noble,
Trasfondo,Sabio,
Trasfondo,Marinero,
Trasfondo,Escriba,
Trasfondo,Soldado,
Trasfondo,Vagabundo,
